000000	225c753030303022
000001	225c753030303122
000002	225c753030303222
000003	225c753030303322
000004	225c753030303422
000005	225c753030303522
000006	225c753030303622
000007	225c753030303722
000008	225c6222
000009	225c7422
00000a	225c6e22
00000b	225c753030306222
00000c	225c6622
00000d	225c7222
00000e	225c753030306522
00000f	225c753030306622
000010	225c753030313022
000011	225c753030313122
000012	225c753030313222
000013	225c753030313322
000014	225c753030313422
000015	225c753030313522
000016	225c753030313622
000017	225c753030313722
000018	225c753030313822
000019	225c753030313922
00001a	225c753030316122
00001b	225c753030316222
00001c	225c753030316322
00001d	225c753030316422
00001e	225c753030316522
00001f	225c753030316622
000020	222022
000022	225c2222
00005c	225c5c22
00002f	222f22
00003c	223c22
00003e	223e22
000026	222622
00007f	227f22
0000e9	22c3a922
002028	22e280a822
002029	22e280a922
004e2d	22e4b8ad22
01f600	22f09f988022
